Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/08/15,18-30,14,2125,10/12/2020 02:15:02 PM
2020/08/16,18-30,9,2134,10/12/2020 02:15:02 PM
2020/08/17,18-30,24,2158,10/12/2020 02:15:02 PM
2020/08/18,18-30,17,2175,10/12/2020 02:15:02 PM
2020/08/19,18-30,19,2194,10/12/2020 02:15:02 PM
2020/08/20,18-30,25,2219,10/12/2020 02:15:02 PM
2020/08/21,18-30,17,2236,10/12/2020 02:15:02 PM
2020/08/22,18-30,10,2246,10/12/2020 02:15:02 PM
2020/08/23,18-30,7,2253,10/12/2020 02:15:02 PM
2020/08/24,18-30,23,2276,10/12/2020 02:15:02 PM
2020/08/25,18-30,18,2294,10/12/2020 02:15:02 PM
2020/08/26,18-30,24,2318,10/12/2020 02:15:02 PM
2020/08/27,18-30,24,2342,10/12/2020 02:15:02 PM
2020/08/28,18-30,14,2356,10/12/2020 02:15:02 PM
2020/08/29,18-30,13,2369,10/12/2020 02:15:02 PM
2020/08/30,18-30,14,2383,10/12/2020 02:15:02 PM
2020/08/31,18-30,27,2410,10/12/2020 02:15:02 PM
2020/09/01,18-30,25,2435,10/12/2020 02:15:02 PM
2020/09/02,18-30,22,2457,10/12/2020 02:15:02 PM
2020/09/03,18-30,22,2479,10/12/2020 02:15:02 PM
2020/09/04,18-30,18,2497,10/12/2020 02:15:02 PM
2020/09/05,18-30,6,2503,10/12/2020 02:15:02 PM
2020/09/06,18-30,7,2510,10/12/2020 02:15:02 PM
2020/09/07,18-30,8,2518,10/12/2020 02:15:02 PM
2020/09/08,18-30,19,2537,10/12/2020 02:15:02 PM
2020/09/09,18-30,15,2552,10/12/2020 02:15:02 PM
2020/09/10,18-30,17,2569,10/12/2020 02:15:02 PM
2020/09/11,18-30,15,2584,10/12/2020 02:15:02 PM
2020/09/12,18-30,11,2595,10/12/2020 02:15:02 PM
2020/09/13,18-30,7,2602,10/12/2020 02:15:02 PM
2020/09/14,18-30,23,2625,10/12/2020 02:15:02 PM
2020/09/15,18-30,17,2642,10/12/2020 02:15:02 PM
2020/09/16,18-30,10,2652,10/12/2020 02:15:02 PM
2020/09/17,18-30,13,2665,10/12/2020 02:15:02 PM
2020/09/18,18-30,21,2686,10/12/2020 02:15:02 PM
2020/09/19,18-30,8,2694,10/12/2020 02:15:02 PM
2020/09/20,18-30,3,2697,10/12/2020 02:15:02 PM
2020/09/21,18-30,13,2710,10/12/2020 02:15:02 PM
2020/09/22,18-30,12,2722,10/12/2020 02:15:02 PM
2020/09/23,18-30,13,2735,10/12/2020 02:15:02 PM
2020/09/24,18-30,24,2759,10/12/2020 02:15:02 PM
2020/09/25,18-30,13,2772,10/12/2020 02:15:02 PM
2020/09/26,18-30,2,2774,10/12/2020 02:15:02 PM
2020/09/27,18-30,5,2779,10/12/2020 02:15:02 PM
2020/09/28,18-30,11,2790,10/12/2020 02:15:02 PM
2020/09/29,18-30,12,2802,10/12/2020 02:15:02 PM
2020/09/30,18-30,20,2822,10/12/2020 02:15:02 PM
2020/10/01,18-30,13,2835,10/12/2020 02:15:02 PM
2020/10/02,18-30,2,2837,10/12/2020 02:15:02 PM
2020/10/03,18-30,7,2844,10/12/2020 02:15:02 PM
2020/10/04,18-30,5,2849,10/12/2020 02:15:02 PM
2020/10/05,18-30,5,2854,10/12/2020 02:15:02 PM
2020/10/06,18-30,11,2865,10/12/2020 02:15:02 PM
2020/10/07,18-30,7,2872,10/12/2020 02:15:02 PM
2020/10/08,18-30,13,2885,10/12/2020 02:15:02 PM
2020/10/09,18-30,7,2892,10/12/2020 02:15:02 PM
2020/10/10,18-30,6,2898,10/12/2020 02:15:02 PM
2020/10/11,18-30,0,2898,10/12/2020 02:15:02 PM
2020/03/18,81+,1,5,10/12/2020 02:15:02 PM
2020/03/19,81+,1,6,10/12/2020 02:15:02 PM
2020/03/20,81+,0,6,10/12/2020 02:15:02 PM
2020/03/21,81+,1,7,10/12/2020 02:15:02 PM
2020/03/22,81+,2,9,10/12/2020 02:15:02 PM
2020/03/23,81+,1,10,10/12/2020 02:15:02 PM
2020/03/24,81+,1,11,10/12/2020 02:15:02 PM
2020/03/25,81+,1,12,10/12/2020 02:15:02 PM
2020/03/26,81+,4,16,10/12/2020 02:15:02 PM
2020/03/27,81+,1,17,10/12/2020 02:15:02 PM
2020/03/28,81+,1,18,10/12/2020 02:15:02 PM
2020/03/29,81+,2,20,10/12/2020 02:15:02 PM
2020/03/30,81+,1,21,10/12/2020 02:15:02 PM
2020/03/31,81+,2,23,10/12/2020 02:15:02 PM
2020/04/01,81+,2,25,10/12/2020 02:15:02 PM
2020/04/02,81+,2,27,10/12/2020 02:15:02 PM
2020/04/03,81+,0,27,10/12/2020 02:15:02 PM
2020/04/04,81+,1,28,10/12/2020 02:15:02 PM
2020/04/05,81+,2,30,10/12/2020 02:15:02 PM
2020/04/06,81+,2,32,10/12/2020 02:15:02 PM
2020/04/07,81+,4,36,10/12/2020 02:15:02 PM
2020/04/08,81+,1,37,10/12/2020 02:15:02 PM
2020/04/09,81+,1,38,10/12/2020 02:15:02 PM
2020/04/10,81+,0,38,10/12/2020 02:15:02 PM
2020/04/11,81+,2,40,10/12/2020 02:15:02 PM
2020/04/12,81+,2,42,10/12/2020 02:15:02 PM
2020/04/13,81+,2,44,10/12/2020 02:15:02 PM
2020/04/14,81+,5,49,10/12/2020 02:15:02 PM
2020/04/15,81+,14,63,10/12/2020 02:15:02 PM
2020/04/16,81+,2,65,10/12/2020 02:15:02 PM
2020/04/17,81+,3,68,10/12/2020 02:15:02 PM
2020/04/18,81+,1,69,10/12/2020 02:15:02 PM
2020/04/19,81+,3,72,10/12/2020 02:15:02 PM
2020/04/20,81+,2,74,10/12/2020 02:15:02 PM
2020/04/21,81+,2,76,10/12/2020 02:15:02 PM
2020/04/22,81+,1,77,10/12/2020 02:15:02 PM
2020/04/23,81+,5,82,10/12/2020 02:15:02 PM
2020/04/24,81+,2,84,10/12/2020 02:15:02 PM
2020/04/25,81+,8,92,10/12/2020 02:15:02 PM
2020/04/26,81+,1,93,10/12/2020 02:15:02 PM
2020/04/27,81+,2,95,10/12/2020 02:15:02 PM
2020/04/28,81+,1,96,10/12/2020 02:15:02 PM
2020/04/29,81+,1,97,10/12/2020 02:15:02 PM
2020/04/30,81+,0,97,10/12/2020 02:15:02 PM
2020/05/01,81+,2,99,10/12/2020 02:15:02 PM
2020/05/02,81+,1,100,10/12/2020 02:15:02 PM
2020/05/03,81+,0,100,10/12/2020 02:15:02 PM
2020/05/04,81+,1,101,10/12/2020 02:15:02 PM
2020/05/05,81+,0,101,10/12/2020 02:15:02 PM
2020/05/06,81+,1,102,10/12/2020 02:15:02 PM
2020/05/07,81+,0,102,10/12/2020 02:15:02 PM
2020/05/08,81+,0,102,10/12/2020 02:15:02 PM
2020/05/09,81+,1,103,10/12/2020 02:15:02 PM
2020/05/10,81+,0,103,10/12/2020 02:15:02 PM
2020/05/11,81+,0,103,10/12/2020 02:15:02 PM
2020/05/12,81+,8,111,10/12/2020 02:15:02 PM
2020/05/13,81+,0,111,10/12/2020 02:15:02 PM
2020/05/14,81+,0,111,10/12/2020 02:15:02 PM
2020/05/15,81+,0,111,10/12/2020 02:15:02 PM
2020/05/16,81+,1,112,10/12/2020 02:15:02 PM
2020/05/17,81+,0,112,10/12/2020 02:15:02 PM
2020/05/18,81+,1,113,10/12/2020 02:15:02 PM
2020/05/19,81+,0,113,10/12/2020 02:15:02 PM
2020/05/20,81+,1,114,10/12/2020 02:15:02 PM
2020/05/21,81+,1,115,10/12/2020 02:15:02 PM
2020/05/22,81+,1,116,10/12/2020 02:15:02 PM
2020/05/23,81+,0,116,10/12/2020 02:15:02 PM
2020/05/24,81+,0,116,10/12/2020 02:15:02 PM
2020/05/25,81+,0,116,10/12/2020 02:15:02 PM
2020/05/26,81+,0,116,10/12/2020 02:15:02 PM
2020/05/27,81+,1,117,10/12/2020 02:15:02 PM
2020/05/28,81+,2,119,10/12/2020 02:15:02 PM
2020/05/29,81+,0,119,10/12/2020 02:15:02 PM
2020/05/30,81+,0,119,10/12/2020 02:15:02 PM
2020/05/31,81+,0,119,10/12/2020 02:15:02 PM
2020/06/01,81+,1,120,10/12/2020 02:15:02 PM
2020/06/02,81+,1,121,10/12/2020 02:15:02 PM
2020/06/03,81+,0,121,10/12/2020 02:15:02 PM
2020/06/04,81+,1,122,10/12/2020 02:15:02 PM
2020/06/05,81+,4,126,10/12/2020 02:15:02 PM
2020/06/06,81+,0,126,10/12/2020 02:15:02 PM
2020/06/07,81+,0,126,10/12/2020 02:15:02 PM
2020/06/08,81+,2,128,10/12/2020 02:15:02 PM
2020/06/09,81+,0,128,10/12/2020 02:15:02 PM
2020/06/10,81+,1,129,10/12/2020 02:15:02 PM
2020/06/11,81+,0,129,10/12/2020 02:15:02 PM
2020/06/12,81+,0,129,10/12/2020 02:15:02 PM
2020/06/13,81+,0,129,10/12/2020 02:15:02 PM
2020/06/14,81+,0,129,10/12/2020 02:15:02 PM
2020/06/15,81+,0,129,10/12/2020 02:15:02 PM
2020/06/16,81+,0,129,10/12/2020 02:15:02 PM
2020/06/17,81+,0,129,10/12/2020 02:15:02 PM
2020/06/18,81+,0,129,10/12/2020 02:15:02 PM
2020/06/19,81+,2,131,10/12/2020 02:15:02 PM
2020/06/20,81+,0,131,10/12/2020 02:15:02 PM
2020/06/21,81+,0,131,10/12/2020 02:15:02 PM
2020/06/22,81+,0,131,10/12/2020 02:15:02 PM
2020/06/23,81+,0,131,10/12/2020 02:15:02 PM
2020/06/24,81+,0,131,10/12/2020 02:15:02 PM
2020/06/25,81+,2,133,10/12/2020 02:15:02 PM
2020/06/26,81+,1,134,10/12/2020 02:15:02 PM
2020/06/27,81+,1,135,10/12/2020 02:15:02 PM
2020/06/28,81+,2,137,10/12/2020 02:15:02 PM
2020/06/29,81+,1,138,10/12/2020 02:15:02 PM
2020/06/30,81+,1,139,10/12/2020 02:15:02 PM
2020/07/01,81+,1,140,10/12/2020 02:15:02 PM
2020/07/02,81+,2,142,10/12/2020 02:15:02 PM
2020/07/03,81+,0,142,10/12/2020 02:15:02 PM
2020/07/04,81+,0,142,10/12/2020 02:15:02 PM
2020/07/05,81+,3,145,10/12/2020 02:15:02 PM
2020/07/06,81+,2,147,10/12/2020 02:15:02 PM
2020/07/07,81+,1,148,10/12/2020 02:15:02 PM
2020/07/08,81+,2,150,10/12/2020 02:15:02 PM
2020/07/09,81+,1,151,10/12/2020 02:15:02 PM
2020/07/10,81+,1,152,10/12/2020 02:15:02 PM
2020/07/11,81+,1,153,10/12/2020 02:15:02 PM
2020/07/12,81+,1,154,10/12/2020 02:15:02 PM
2020/07/13,81+,2,156,10/12/2020 02:15:02 PM
2020/07/14,81+,4,160,10/12/2020 02:15:02 PM
2020/07/15,81+,1,161,10/12/2020 02:15:02 PM
2020/07/16,81+,0,161,10/12/2020 02:15:02 PM
2020/07/17,81+,2,163,10/12/2020 02:15:02 PM
2020/07/18,81+,0,163,10/12/2020 02:15:02 PM
2020/07/19,81+,0,163,10/12/2020 02:15:02 PM
2020/07/20,81+,1,164,10/12/2020 02:15:02 PM
2020/07/21,81+,2,166,10/12/2020 02:15:02 PM
2020/07/22,81+,0,166,10/12/2020 02:15:02 PM
2020/07/23,81+,2,168,10/12/2020 02:15:02 PM
2020/07/24,81+,1,169,10/12/2020 02:15:02 PM
2020/07/25,81+,1,170,10/12/2020 02:15:02 PM
2020/07/26,81+,1,171,10/12/2020 02:15:02 PM
2020/07/27,81+,0,171,10/12/2020 02:15:02 PM
2020/07/28,81+,1,172,10/12/2020 02:15:02 PM
2020/07/29,81+,6,178,10/12/2020 02:15:02 PM
2020/07/30,81+,2,180,10/12/2020 02:15:02 PM
2020/07/31,81+,3,183,10/12/2020 02:15:02 PM
2020/08/01,81+,7,190,10/12/2020 02:15:02 PM
2020/08/02,81+,1,191,10/12/2020 02:15:02 PM
2020/08/03,81+,2,193,10/12/2020 02:15:02 PM
2020/08/04,81+,3,196,10/12/2020 02:15:02 PM
2020/08/05,81+,2,198,10/12/2020 02:15:02 PM
2020/08/06,81+,4,202,10/12/2020 02:15:02 PM
2020/08/07,81+,0,202,10/12/2020 02:15:02 PM
2020/08/08,81+,0,202,10/12/2020 02:15:02 PM
2020/08/09,81+,0,202,10/12/2020 02:15:02 PM
2020/08/10,81+,4,206,10/12/2020 02:15:02 PM
2020/08/11,81+,2,208,10/12/2020 02:15:02 PM
2020/08/12,81+,1,209,10/12/2020 02:15:02 PM
2020/08/13,81+,1,210,10/12/2020 02:15:02 PM
2020/08/14,81+,4,214,10/12/2020 02:15:02 PM
2020/08/15,81+,1,215,10/12/2020 02:15:02 PM
2020/08/16,81+,0,215,10/12/2020 02:15:02 PM
2020/08/17,81+,2,217,10/12/2020 02:15:02 PM
2020/08/18,81+,1,218,10/12/2020 02:15:02 PM
2020/08/19,81+,1,219,10/12/2020 02:15:02 PM
2020/08/20,81+,1,220,10/12/2020 02:15:02 PM
2020/08/21,81+,1,221,10/12/2020 02:15:02 PM
2020/08/22,81+,0,221,10/12/2020 02:15:02 PM
2020/08/23,81+,2,223,10/12/2020 02:15:02 PM
2020/08/24,81+,3,226,10/12/2020 02:15:02 PM
2020/08/25,81+,2,228,10/12/2020 02:15:02 PM
2020/08/26,81+,2,230,10/12/2020 02:15:02 PM
2020/08/27,81+,3,233,10/12/2020 02:15:02 PM
2020/08/28,81+,2,235,10/12/2020 02:15:02 PM
2020/08/29,81+,0,235,10/12/2020 02:15:02 PM
2020/08/30,81+,0,235,10/12/2020 02:15:02 PM
2020/08/31,81+,5,240,10/12/2020 02:15:02 PM
2020/09/01,81+,1,241,10/12/2020 02:15:02 PM
2020/09/02,81+,2,243,10/12/2020 02:15:02 PM
2020/09/03,81+,6,249,10/12/2020 02:15:02 PM
2020/09/04,81+,2,251,10/12/2020 02:15:02 PM
2020/09/05,81+,1,252,10/12/2020 02:15:02 PM
2020/09/06,81+,3,255,10/12/2020 02:15:02 PM
2020/09/07,81+,11,266,10/12/2020 02:15:02 PM
2020/09/08,81+,0,266,10/12/2020 02:15:02 PM
2020/09/09,81+,5,271,10/12/2020 02:15:02 PM
2020/09/10,81+,1,272,10/12/2020 02:15:02 PM
2020/09/11,81+,7,279,10/12/2020 02:15:02 PM
2020/09/12,81+,3,282,10/12/2020 02:15:02 PM
2020/09/13,81+,0,282,10/12/2020 02:15:02 PM
2020/09/14,81+,2,284,10/12/2020 02:15:02 PM
2020/09/15,81+,9,293,10/12/2020 02:15:02 PM
2020/09/16,81+,0,293,10/12/2020 02:15:02 PM
2020/09/17,81+,1,294,10/12/2020 02:15:02 PM
2020/09/18,81+,17,311,10/12/2020 02:15:02 PM
2020/09/19,81+,4,315,10/12/2020 02:15:02 PM
2020/09/20,81+,0,315,10/12/2020 02:15:02 PM
2020/09/21,81+,0,315,10/12/2020 02:15:02 PM
2020/09/22,81+,6,321,10/12/2020 02:15:02 PM
2020/09/23,81+,4,325,10/12/2020 02:15:02 PM
2020/09/24,81+,5,330,10/12/2020 02:15:02 PM
2020/09/25,81+,2,332,10/12/2020 02:15:02 PM
2020/09/26,81+,1,333,10/12/2020 02:15:02 PM
2020/09/27,81+,0,333,10/12/2020 02:15:02 PM
2020/09/28,81+,1,334,10/12/2020 02:15:02 PM
2020/09/29,81+,0,334,10/12/2020 02:15:02 PM
2020/09/30,81+,1,335,10/12/2020 02:15:02 PM
2020/10/01,81+,2,337,10/12/2020 02:15:02 PM
2020/10/02,81+,1,338,10/12/2020 02:15:02 PM
2020/10/03,81+,0,338,10/12/2020 02:15:02 PM
2020/10/04,81+,0,338,10/12/2020 02:15:02 PM
2020/10/05,81+,0,338,10/12/2020 02:15:02 PM
2020/10/06,81+,0,338,10/12/2020 02:15:02 PM
2020/10/07,81+,0,338,10/12/2020 02:15:02 PM
2020/10/08,81+,2,340,10/12/2020 02:15:02 PM
2020/10/09,81+,0,340,10/12/2020 02:15:02 PM
2020/10/10,81+,0,340,10/12/2020 02:15:02 PM
2020/10/11,81+,0,340,10/12/2020 02:15:02 PM
2020/04/04,under 18,1,5,10/12/2020 02:15:02 PM
2020/04/05,under 18,0,5,10/12/2020 02:15:02 PM
2020/04/06,under 18,2,7,10/12/2020 02:15:02 PM
2020/04/07,under 18,6,13,10/12/2020 02:15:02 PM
2020/04/08,under 18,1,14,10/12/2020 02:15:02 PM
2020/04/09,under 18,2,16,10/12/2020 02:15:02 PM
2020/04/10,under 18,1,17,10/12/2020 02:15:02 PM
2020/04/11,under 18,1,18,10/12/2020 02:15:02 PM
2020/04/12,under 18,0,18,10/12/2020 02:15:02 PM
2020/04/13,under 18,3,21,10/12/2020 02:15:02 PM
2020/04/14,under 18,0,21,10/12/2020 02:15:02 PM
2020/04/15,under 18,0,21,10/12/2020 02:15:02 PM
2020/04/16,under 18,1,22,10/12/2020 02:15:02 PM
2020/04/17,under 18,0,22,10/12/2020 02:15:02 PM
2020/04/18,under 18,2,24,10/12/2020 02:15:02 PM
2020/04/19,under 18,0,24,10/12/2020 02:15:02 PM
2020/04/20,under 18,2,26,10/12/2020 02:15:02 PM
2020/04/21,under 18,2,28,10/12/2020 02:15:02 PM
2020/04/22,under 18,4,32,10/12/2020 02:15:02 PM
2020/04/23,under 18,1,33,10/12/2020 02:15:02 PM
2020/04/24,under 18,2,35,10/12/2020 02:15:02 PM
2020/04/25,under 18,5,40,10/12/2020 02:15:02 PM
2020/04/26,under 18,2,42,10/12/2020 02:15:02 PM
2020/04/27,under 18,3,45,10/12/2020 02:15:02 PM
2020/04/28,under 18,7,52,10/12/2020 02:15:02 PM
2020/04/29,under 18,3,55,10/12/2020 02:15:02 PM
2020/04/30,under 18,3,58,10/12/2020 02:15:02 PM
2020/05/01,under 18,3,61,10/12/2020 02:15:02 PM
2020/05/02,under 18,6,67,10/12/2020 02:15:02 PM
2020/05/03,under 18,2,69,10/12/2020 02:15:02 PM
2020/05/04,under 18,6,75,10/12/2020 02:15:02 PM
2020/05/05,under 18,0,75,10/12/2020 02:15:02 PM
2020/05/06,under 18,2,77,10/12/2020 02:15:02 PM
2020/05/07,under 18,4,81,10/12/2020 02:15:02 PM
2020/05/08,under 18,6,87,10/12/2020 02:15:02 PM
2020/05/09,under 18,0,87,10/12/2020 02:15:02 PM
2020/05/10,under 18,0,87,10/12/2020 02:15:02 PM
2020/05/11,under 18,3,90,10/12/2020 02:15:02 PM
2020/05/12,under 18,3,93,10/12/2020 02:15:02 PM
2020/05/13,under 18,1,94,10/12/2020 02:15:02 PM
2020/05/14,under 18,7,101,10/12/2020 02:15:02 PM
2020/05/15,under 18,5,106,10/12/2020 02:15:02 PM
2020/05/16,under 18,0,106,10/12/2020 02:15:02 PM
2020/05/17,under 18,1,107,10/12/2020 02:15:02 PM
2020/05/18,under 18,8,115,10/12/2020 02:15:02 PM
2020/05/19,under 18,7,122,10/12/2020 02:15:02 PM
2020/05/20,under 18,8,130,10/12/2020 02:15:02 PM
2020/05/21,under 18,5,135,10/12/2020 02:15:02 PM
2020/05/22,under 18,5,140,10/12/2020 02:15:02 PM
2020/05/23,under 18,3,143,10/12/2020 02:15:02 PM
2020/05/24,under 18,0,143,10/12/2020 02:15:02 PM
2020/05/25,under 18,0,143,10/12/2020 02:15:02 PM
2020/05/26,under 18,11,154,10/12/2020 02:15:02 PM
2020/05/27,under 18,8,162,10/12/2020 02:15:02 PM
2020/05/28,under 18,4,166,10/12/2020 02:15:02 PM
2020/05/29,under 18,3,169,10/12/2020 02:15:02 PM
2020/05/30,under 18,2,171,10/12/2020 02:15:02 PM
2020/05/31,under 18,2,173,10/12/2020 02:15:02 PM
2020/06/01,under 18,2,175,10/12/2020 02:15:02 PM
2020/06/02,under 18,10,185,10/12/2020 02:15:02 PM
2020/06/03,under 18,1,186,10/12/2020 02:15:02 PM
2020/06/04,under 18,2,188,10/12/2020 02:15:02 PM
2020/06/05,under 18,3,191,10/12/2020 02:15:02 PM
2020/06/06,under 18,3,194,10/12/2020 02:15:02 PM
2020/06/07,under 18,2,196,10/12/2020 02:15:02 PM
2020/06/08,under 18,5,201,10/12/2020 02:15:02 PM
2020/06/09,under 18,4,205,10/12/2020 02:15:02 PM
2020/06/10,under 18,1,206,10/12/2020 02:15:02 PM
2020/06/11,under 18,1,207,10/12/2020 02:15:02 PM
2020/06/12,under 18,2,209,10/12/2020 02:15:02 PM
2020/06/13,under 18,1,210,10/12/2020 02:15:02 PM
2020/06/14,under 18,1,211,10/12/2020 02:15:02 PM
2020/06/15,under 18,10,221,10/12/2020 02:15:02 PM
2020/06/16,under 18,10,231,10/12/2020 02:15:02 PM
2020/06/17,under 18,11,242,10/12/2020 02:15:02 PM
2020/06/18,under 18,2,244,10/12/2020 02:15:02 PM
2020/06/19,under 18,5,249,10/12/2020 02:15:02 PM
2020/06/20,under 18,4,253,10/12/2020 02:15:02 PM
2020/06/21,under 18,3,256,10/12/2020 02:15:02 PM
2020/06/22,under 18,11,267,10/12/2020 02:15:02 PM
2020/06/23,under 18,16,283,10/12/2020 02:15:02 PM
2020/06/24,under 18,9,292,10/12/2020 02:15:02 PM
2020/06/25,under 18,5,297,10/12/2020 02:15:02 PM
2020/06/26,under 18,7,304,10/12/2020 02:15:02 PM
2020/06/27,under 18,6,310,10/12/2020 02:15:02 PM
2020/06/28,under 18,7,317,10/12/2020 02:15:02 PM
2020/06/29,under 18,3,320,10/12/2020 02:15:02 PM
2020/06/30,under 18,17,337,10/12/2020 02:15:02 PM
2020/07/01,under 18,13,350,10/12/2020 02:15:02 PM
2020/07/02,under 18,6,356,10/12/2020 02:15:02 PM
2020/07/03,under 18,13,369,10/12/2020 02:15:02 PM
2020/07/04,under 18,0,369,10/12/2020 02:15:02 PM
2020/07/05,under 18,5,374,10/12/2020 02:15:02 PM
2020/07/06,under 18,5,379,10/12/2020 02:15:02 PM
2020/07/07,under 18,5,384,10/12/2020 02:15:02 PM
2020/07/08,under 18,7,391,10/12/2020 02:15:02 PM
2020/07/09,under 18,11,402,10/12/2020 02:15:02 PM
2020/07/10,under 18,16,418,10/12/2020 02:15:02 PM
2020/07/11,under 18,7,425,10/12/2020 02:15:02 PM
2020/07/12,under 18,6,431,10/12/2020 02:15:02 PM
2020/07/13,under 18,25,456,10/12/2020 02:15:02 PM
2020/07/14,under 18,22,478,10/12/2020 02:15:02 PM
2020/07/15,under 18,27,505,10/12/2020 02:15:02 PM
2020/07/16,under 18,17,522,10/12/2020 02:15:02 PM
2020/07/17,under 18,21,543,10/12/2020 02:15:02 PM
2020/07/18,under 18,15,558,10/12/2020 02:15:02 PM
2020/07/19,under 18,7,565,10/12/2020 02:15:02 PM
2020/07/20,under 18,16,581,10/12/2020 02:15:02 PM
2020/07/21,under 18,18,599,10/12/2020 02:15:02 PM
2020/07/22,under 18,12,611,10/12/2020 02:15:02 PM
2020/07/23,under 18,13,624,10/12/2020 02:15:02 PM
2020/07/24,under 18,9,633,10/12/2020 02:15:02 PM
2020/07/25,under 18,13,646,10/12/2020 02:15:02 PM
2020/07/26,under 18,7,653,10/12/2020 02:15:02 PM
2020/07/27,under 18,13,666,10/12/2020 02:15:02 PM
2020/07/28,under 18,9,675,10/12/2020 02:15:02 PM
2020/07/29,under 18,13,688,10/12/2020 02:15:02 PM
2020/07/30,under 18,19,707,10/12/2020 02:15:02 PM
2020/07/31,under 18,10,717,10/12/2020 02:15:02 PM
2020/08/01,under 18,8,725,10/12/2020 02:15:02 PM
2020/08/02,under 18,13,738,10/12/2020 02:15:02 PM
2020/08/03,under 18,9,747,10/12/2020 02:15:02 PM
2020/08/04,under 18,17,764,10/12/2020 02:15:02 PM
2020/08/05,under 18,18,782,10/12/2020 02:15:02 PM
2020/08/06,under 18,13,795,10/12/2020 02:15:02 PM
2020/08/07,under 18,22,817,10/12/2020 02:15:02 PM
2020/08/08,under 18,10,827,10/12/2020 02:15:02 PM
2020/08/09,under 18,9,836,10/12/2020 02:15:02 PM
2020/08/10,under 18,15,851,10/12/2020 02:15:02 PM
2020/08/11,under 18,18,869,10/12/2020 02:15:02 PM
2020/08/12,under 18,17,886,10/12/2020 02:15:02 PM
2020/08/13,under 18,19,905,10/12/2020 02:15:02 PM
2020/08/14,under 18,15,920,10/12/2020 02:15:02 PM
2020/08/15,under 18,9,929,10/12/2020 02:15:02 PM
2020/08/16,under 18,6,935,10/12/2020 02:15:02 PM
2020/08/17,under 18,11,946,10/12/2020 02:15:02 PM
2020/08/18,under 18,9,955,10/12/2020 02:15:02 PM
2020/08/19,under 18,29,984,10/12/2020 02:15:02 PM
2020/08/20,under 18,10,994,10/12/2020 02:15:02 PM
2020/08/21,under 18,15,1009,10/12/2020 02:15:02 PM
2020/08/22,under 18,7,1016,10/12/2020 02:15:02 PM
2020/08/23,under 18,9,1025,10/12/2020 02:15:02 PM
2020/08/24,under 18,13,1038,10/12/2020 02:15:02 PM
2020/08/25,under 18,16,1054,10/12/2020 02:15:02 PM
2020/08/26,under 18,20,1074,10/12/2020 02:15:02 PM
2020/08/27,under 18,16,1090,10/12/2020 02:15:02 PM
2020/08/28,under 18,13,1103,10/12/2020 02:15:02 PM
2020/08/29,under 18,5,1108,10/12/2020 02:15:02 PM
2020/08/30,under 18,3,1111,10/12/2020 02:15:02 PM
2020/08/31,under 18,8,1119,10/12/2020 02:15:02 PM
2020/09/01,under 18,11,1130,10/12/2020 02:15:02 PM
2020/09/02,under 18,12,1142,10/12/2020 02:15:02 PM
2020/09/03,under 18,13,1155,10/12/2020 02:15:02 PM
2020/09/04,under 18,13,1168,10/12/2020 02:15:02 PM
2020/09/05,under 18,5,1173,10/12/2020 02:15:02 PM
2020/09/06,under 18,2,1175,10/12/2020 02:15:02 PM
2020/09/07,under 18,2,1177,10/12/2020 02:15:02 PM
2020/09/08,under 18,9,1186,10/12/2020 02:15:02 PM
2020/09/09,under 18,7,1193,10/12/2020 02:15:02 PM
2020/09/10,under 18,4,1197,10/12/2020 02:15:02 PM
2020/09/11,under 18,11,1208,10/12/2020 02:15:02 PM
2020/09/12,under 18,7,1215,10/12/2020 02:15:02 PM
2020/09/13,under 18,0,1215,10/12/2020 02:15:02 PM
2020/09/14,under 18,15,1230,10/12/2020 02:15:02 PM
2020/09/15,under 18,10,1240,10/12/2020 02:15:02 PM
2020/09/16,under 18,12,1252,10/12/2020 02:15:02 PM
2020/09/17,under 18,3,1255,10/12/2020 02:15:02 PM
2020/09/18,under 18,11,1266,10/12/2020 02:15:02 PM
2020/09/19,under 18,6,1272,10/12/2020 02:15:02 PM
2020/09/20,under 18,1,1273,10/12/2020 02:15:02 PM
2020/09/21,under 18,4,1277,10/12/2020 02:15:02 PM
2020/09/22,under 18,3,1280,10/12/2020 02:15:02 PM
2020/09/23,under 18,10,1290,10/12/2020 02:15:02 PM
2020/09/24,under 18,16,1306,10/12/2020 02:15:02 PM
2020/09/25,under 18,7,1313,10/12/2020 02:15:02 PM
2020/09/26,under 18,3,1316,10/12/2020 02:15:02 PM
2020/09/27,under 18,5,1321,10/12/2020 02:15:02 PM
2020/09/28,under 18,7,1328,10/12/2020 02:15:02 PM
2020/09/29,under 18,2,1330,10/12/2020 02:15:02 PM
2020/09/30,under 18,8,1338,10/12/2020 02:15:02 PM
2020/10/01,under 18,6,1344,10/12/2020 02:15:02 PM
2020/10/02,under 18,2,1346,10/12/2020 02:15:02 PM
2020/10/03,under 18,1,1347,10/12/2020 02:15:02 PM
2020/10/04,under 18,0,1347,10/12/2020 02:15:02 PM
2020/10/05,under 18,5,1352,10/12/2020 02:15:02 PM
2020/10/06,under 18,5,1357,10/12/2020 02:15:02 PM
2020/10/07,under 18,5,1362,10/12/2020 02:15:02 PM
